year,precinct,mcd,county,black,white,asian,nhpi,aian,twomore,nothispanic,hispanic,total
2020,WP-163-22000-02201,22000,163,905.2191306239218,184.61140223173402,26.995498744954922,0,0.05194891163175436,27.066294267583444,1133.6692807169006,10.405841740270903,1144.0751224571716
2020,WP-117-55140-00001,55140,117,0.37461820770438325,3036.926652935753,42.41021966952201,0,11.997590065698176,64.1829476041148,3107.689003717923,51.5260649700365,3159.2150686879595
2020,WP-061-39360-00002,39360,061,167.80443982052964,5203.885081714268,530.3689228279861,7.126898825419625,104.5820668598616,153.51618465700415,6003.494708209927,188.77261976632377,6192.267327976252
2020,WP-157-43880-00001,43880,157,24.652098890854685,1420.4164918216693,1.607739409884752,5.6763573091971514e-05,0.001792258654531563,18.98860897024027,1428.0033909956885,37.664387416596085,1465.6677784122846
2020,WP-099-24290-00006,24290,099,1467.3542784932363,1215.0684318796837,67.07458903843926,0,0,97.26264972797257,2809.073632319766,53.66800870121464,2862.7416410209808
2020,WP-161-03000-04032,03000,161,66.91449153112572,1533.4327091497578,193.4599869114558,0.5315165457157527,0.10763655555727378,68.16238019207019,1729.055689932108,160.2275467191308,1889.283236651239
2020,WP-081-88940-02022,88940,081,522.2814881985936,2144.5140909995225,54.984140199383525,0,11.057854585829574,381.7670785516662,2847.527572323678,356.4173313431506,3203.9449036668284
2020,WP-147-29760-00003,29760,147,37.08791245288387,1583.7452026385004,0.000397541297969199,0,0,2.6132334144168174,1413.1970295037286,250.89699396064117,1664.0940234643697
2020,WP-125-27440-00011,27440,125,903.6056437193226,1610.0234747196394,656.3983131755969,0,5.022122152914942,78.94669124399172,3153.048629450345,107.93288526010033,3260.9815147104455
2020,WP-081-42820-02011,42820,081,976.3236539671326,2601.200113078024,307.158075803555,0.019440226246152978,9.805171558480868e-06,46.727199354996195,3749.8531201705823,181.5753720645431,3931.4284922351258
2020,WP-049-27760-00002,27760,049,23.8617073466542,1683.3468628679948,0.021477378348377475,0,0,5.517575479861501,1682.6297906909958,30.135808582693453,1712.7655992736895
2020,WP-093-10640-00004,10640,093,2.616084286479621,1798.0295903860879,0.05153608165685549,0,4.967667689620855,108.39274828168426,1825.140734232672,100.1944814841722,1925.3352157168442
2020,WP-161-03000-04035,03000,161,151.4366582626799,1856.2766945435724,268.76187456180253,0,7.1494294530533775,160.75495870606542,2371.8899590932665,102.250823821624,2474.1407829148907
2020,WP-099-84000-00013,84000,099,1268.8257325376871,1821.1000379199568,339.9314941993615,0,3.3475584032334544,167.41451265962505,3578.4518390081407,22.167496711722777,3600.6193357198636
2020,WP-065-47200-00001,47200,065,40.393267648622086,3875.0733385404396,2.917112378602231e-07,4.940263826568534,0.002128612778431008,83.14038267802437,3854.5933494137935,172.66987521521733,4027.263224629011
2020,WP-057-77300-00001,77300,057,0.00011250319378516928,1837.3120414660716,0.05510585294704999,7.21959769800086e-05,5.00199148436107,53.21681213301444,1858.9794796636297,42.5355654911351,1901.5150451547652
2020,WP-163-22000-07365,22000,163,550.927244501398,9.58754280602002,0,0,68.9843294597843,11.26160140531896,640.7607081757938,4.998363773738419e-05,640.7607581594315
2020,WP-121-56360-00003,56360,121,1520.1477996231638,413.7980697446099,1.5908434889204892e-06,0,10.585422428386028,44.90718106236986,1982.485839330645,6.9526361310828735,1989.4384754617276
2020,WP-163-88380-00002,88380,163,133.02366558481478,3348.385868211416,39.03088143579376,0,0,150.35805347253537,3382.2240756716105,322.4518301094631,3704.675905781073
2020,WP-163-22000-05128,22000,163,934.477724270357,435.0487904984142,1.0204341137812087,0,0.0025194737554861527,0.393890157485269,1384.5800202109908,29.511824335667676,1414.0918445466586
2020,WP-161-49120-00003,49120,161,171.5484967374081,1324.4330039638187,26.300281991682635,0,144.80144229025413,246.09972645387,1902.0905069387252,44.451217304092935,1946.5417242428184
2020,WP-077-69820-00002,69820,077,20.255094368577915,2255.872262524833,1.2454869113354776,0.0013988589997206535,5.1684834527972345,58.39515180682585,2317.79284511934,27.236863177382535,2345.0297082967218
2020,WP-049-47820-00001,47820,049,77.11374163569664,1829.2588513201126,0.05675467572836041,0,0,55.132903570850786,1961.5475244450058,0.015567266328883122,1961.5630917113347
2020,WP-093-60120-00002,60120,093,8.018724031705023,3138.1644405422076,25.97190456276755,0,0.017778122428053537,51.041746030626065,3191.1760025144004,32.05846568089869,3223.2344681952986
2020,WP-049-12060-00011,12060,049,106.15551632908883,1222.8721101547399,52.231772202926706,0,3.309681552464922e-06,121.50640931840105,1485.6440612262477,28.856179396900252,1514.5002406231483
2020,WP-163-22000-05156,22000,163,1525.5612884206935,46.99018485899937,2.11658166708086,0,0.19424674678112128,0.72674237403453,1574.7075216943022,0.8858338149423177,1575.5933555092442
2020,WP-161-71940-00005,71940,161,74.65517233933382,814.0495079363814,265.80237664970235,0,0,101.04879446728798,1217.8177395821137,43.394097870573574,1261.2118374526874
2020,WP-163-22000-02229,22000,163,2079.7344305967777,16.37151749984914,0,0,32.96579470682622,0.12397930286373712,2114.3314186398584,14.87220023734108,2129.2036188771995
2020,WP-099-16520-00037,16520,099,338.1306562356916,2007.8023618766774,47.29117189461786,0,0,74.77826024061116,2371.834578497539,111.237618765117,2483.072197262656
2020,WP-063-71260-00001,71260,063,7.288595503693511,1303.0365486376309,2.756304644354969,0,14.804494094613037,74.44497382440443,1377.782356069592,24.548660980876615,1402.3310170504687
2020,WP-049-29220-00004,29220,049,142.21775308941525,2228.4701198197927,0,32.09711538155957,0.00027902961905007745,45.135499481995495,2398.2668891833205,49.68109448919512,2447.947983672516
